Título	Tiempo de Lectura (min)	Nombre Completo Autor	Apellido Autor	Primer Nombre Autor	País	Género	URL Wikipedia	Categorías	Autores relacionados	Año de nacimiento	Año de muerte
Epitafio para la foto del baile:	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Flechazo místico de Colt	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Fumando espero al hombre que yo quiero	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Gormaz a sangre y fuego	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
He metido las manos en el fuego...	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Hermosas ninfas que en el río metidas...	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Inutilidad del poeta didáctico	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Los deseos de Pilar	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Madrigal	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Morir soñando...	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Mudanza	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Nacimiento de Venus	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Nada queda de nuestro palomar blanco	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
No solamente en Broadway	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Oh, nadie, Náyade, Nereida, ninfa serena, tía	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Paradisaea papua	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Pebetero	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Perfume de las rosas	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Rima	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
She's a rainbow	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Síntomas de vejez	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Sólo el rayo no hiere a las ortigas...	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Soneto acróstico con figuras de insistencia...	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Soneto grisáceo	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Todo fue sobre ruedas	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Tríptico de la tristeza, de la melancolía, y de la alegría	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Tú tan aficionada a los pañuelos...	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Vulcano Eros Addatopem	0.53	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
Ya lo sabes, amada	0.49	Núñez, Aníbal	Núñez	Aníbal	Unknown	Unknown	https://es.wikipedia.org/wiki/An%C3%ADbal_N%C3%BA%C3%B1ez	Alumnado de la Universidad de Salamanca en el siglo XX,Escritores de España del siglo XX,Escritores en español del siglo XX,Fallecidos en 1987,Hombres,Nacidos en 1944,Nacidos en Salamanca,Poesía española contemporánea,Poetas de España del siglo XX,Poetas de Salamanca,Traductores de España del siglo XX	Unknown	Unknown	Unknown
A un ruiseñor amaneciendo	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Canción del tenaz alborozo	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Contemplación	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Estancia de lo eterno	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Hombre y tiempo	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Jazmín en la presencia	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Madrigal de una antigua voz	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Meditación	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Nocturno	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Poema	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Poema de vigilia	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Soneto	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Soneto diferente	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Tú, el testimonio	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Versos al tiempo	0.4	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Vigilia	0.395	Núñez, Serafina	Núñez	Serafina	Reino Unido	Romanticismo	https://es.wikipedia.org/wiki/Serafina_N%C3%BA%C3%B1ez	Escritoras de Cuba,Escritores en español del siglo XX,Fallecidos en 2006,Fallecidos en La Habana,Mujeres,Nacidos en 1913,Nacidos en La Habana	Gabriela Mistral,Juan Ramón Jiménez	Unknown	Unknown
Acorde final	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
Aprisionada por la espuma	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
Declinaciones del monólogo	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
Epígrafe	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
La dama de bronce	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
Natalia, la niña del pintor Granell	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
Nube y cielo mayor	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
Poema primero     (Posesión en el sueño)	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
Poema segundo     (Ausencia de amor)	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
Poema tercero     (Consumación)	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
Poema cuarto     (Canción del Esposo a su Amada)	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
Poema quinto     (Esterilidad)	0.995	Odio, Eunice	Odio	Eunice	Costa	Unknown	https://es.wikipedia.org/wiki/Eunice_Odio	Anticomunistas de México,Cuentistas de México del siglo XX,Emigrantes costarricenses hacia México,Ensayistas de México del siglo XX,Escritoras de Costa Rica,Escritoras de México del siglo XX,Escritores en español del siglo XX,Fallecidos en 1974,Fallecidos en Ciudad de México,Mujeres,Mujeres periodistas de México,Nacidos en 1919,Nacidos en San José (Costa Rica),Poetas de México del siglo XX,Poetisas de Costa Rica,Poetisas de México,Teósofos de Costa Rica,Traductoras de México,Traductores del inglés al español	Unknown	Unknown	Unknown
